shipment_id,supplier,origin,destination,ship_date,delivery_date,planned_date,cost
S001,DHL,Berlin,Warsaw,1/1/2025,1/3/2025,1/2/2025,"1,200.00"
S002,DHL,Berlin,Warsaw,1/2/2025,1/4/2025,1/3/2025,"1,200.00"
S003,DHL,Berlin,Warsaw,1/3/2025,1/5/2025,1/4/2025,"1,200.00"
S004,DHL,Berlin,Praha,1/4/2025,1/6/2025,1/6/2025,"1,300.00"
S005,DHL,Berlin,Warsaw,1/5/2025,1/7/2025,1/6/2025,"1,200.00"
S006,UBS,Berlin,Madrid,1/6/2025,1/9/2025,1/9/2025,"1,800.00"
S007,DHL,Berlin,Madrid,1/7/2025,1/11/2025,1/10/2025,"1,800.00"
S008,DHL,Berlin,Warsaw,1/8/2025,1/10/2025,1/9/2025,"1,200.00"
S009,DHL,Berlin,Warsaw,1/9/2025,1/11/2025,1/10/2025,"1,200.00"
S010,DHL,Berlin,Lion,1/10/2025,1/12/2025,1/12/2025,"1,550.00"
S011,DHL,Berlin,Lion,1/11/2025,1/14/2025,1/13/2025,"1,500.00"
S012,DHL,Berlin,Warsaw,1/12/2025,1/14/2025,1/13/2025,"1,200.00"
S013,UBS,Berlin,Madrid,1/13/2025,1/19/2025,1/16/2025,"1,800.00"
S014,UBS,Berlin,Madrid,1/14/2025,1/18/2025,1/17/2025,"1,800.00"
S015,UBS,Berlin,Madrid,1/15/2025,1/18/2025,1/18/2025,"1,800.00"
S016,DHL,Berlin,Warsaw,1/16/2025,1/18/2025,1/17/2025,"1,200.00"
S017,DHL,Berlin,Warsaw,1/17/2025,1/19/2025,1/18/2025,"1,200.00"
S018,DHL,Berlin,Warsaw,1/18/2025,1/20/2025,1/19/2025,"1,200.00"
S019,DHL,Berlin,Warsaw,1/19/2025,1/21/2025,1/20/2025,"1,200.00"
S020,DHL,Berlin,Warsaw,1/20/2025,1/22/2025,1/21/2025,"1,200.00"
S021,DHL,Berlin,Warsaw,1/21/2025,1/23/2025,1/22/2025,"1,200.00"
S022,DHL,Berlin,Warsaw,1/22/2025,1/24/2025,1/23/2025,"1,200.00"
S023,DHL,Berlin,Warsaw,1/23/2025,1/25/2025,1/24/2025,"1,200.00"
S024,DHL,Berlin,Warsaw,1/24/2025,1/26/2025,1/25/2025,"1,200.00"
S025,UBS,Berlin,Barcelona,1/25/2025,1/28/2025,1/28/2025,"1,900.00"
S026,UBS,Berlin,Barcelona,1/26/2025,1/30/2025,1/29/2025,"1,900.00"
S027,DHL,Berlin,Warsaw,1/27/2025,1/29/2025,1/28/2025,"1,200.00"
S028,DHL,Berlin,Warsaw,1/28/2025,1/29/2025,1/29/2025,"1,200.00"
S029,DHL,Berlin,Warsaw,1/29/2025,1/30/2025,1/30/2025,"1,200.00"
S030,DHL,Berlin,Warsaw,1/30/2025,1/31/2025,1/31/2025,"1,200.00"
S031,DHL,Berlin,Warsaw,1/31/2025,2/2/2025,2/1/2025,"1,200.00"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
